transaction_year,transaction_month,transaction_day,total_withdrawal
2024,5,7,782
2024,5,8,682
2024,5,9,707
2024,5,10,741
2024,5,11,671
2024,5,12,693
2024,5,13,659
2024,5,14,721
2024,5,15,742
2024,5,16,661
2024,5,17,705
2024,5,18,687
2024,5,19,667
2024,5,20,704
2024,5,21,751
2024,5,22,732
2024,5,23,718
2024,5,24,729
2024,5,25,718
2024,5,26,774
2024,5,27,694
2024,5,28,717
2024,5,29,724
2024,5,30,736
2024,5,31,722
2024,6,1,728
2024,6,2,677
2024,6,3,661
2024,6,4,691
2024,6,5,770
2024,6,6,707
2024,6,7,673
2024,6,8,693
2024,6,9,753
2024,6,10,724
2024,6,11,693
2024,6,12,737
2024,6,13,792
2024,6,14,702
2024,6,15,712
2024,6,16,739
2024,6,17,687
2024,6,18,699
2024,6,19,739
2024,6,20,737
2024,6,21,692
2024,6,22,670
2024,6,23,715
2024,6,24,704
2024,6,25,716
2024,6,26,680
2024,6,27,736
2024,6,28,719
2024,6,29,701
2024,6,30,756
2024,7,1,709
2024,7,2,738
2024,7,3,705
2024,7,4,709
2024,7,5,700
2024,7,6,729
2024,7,7,730
2024,7,8,706
2024,7,9,739
2024,7,10,731
2024,7,11,713
2024,7,12,740
2024,7,13,715
2024,7,14,696
2024,7,15,737
2024,7,16,686
2024,7,17,697
2024,7,18,669
2024,7,19,703
2024,7,20,700
2024,7,21,797
2024,7,22,739
2024,7,23,715
2024,7,24,709
2024,7,25,735
2024,7,26,691
2024,7,27,689
2024,7,28,728
2024,7,29,747
2024,7,30,682
2024,7,31,694
2024,8,1,633
2024,8,2,687
2024,8,3,665
2024,8,4,705
2024,8,5,738
2024,8,6,710
2024,8,7,755
2024,8,8,756
2024,8,9,782
2024,8,10,740
2024,8,11,696
2024,8,12,723
2024,8,13,672
2024,8,14,697
2024,8,15,710
2024,8,16,638
2024,8,17,717
2024,8,18,667
2024,8,19,709
2024,8,20,719
2024,8,21,703
2024,8,22,706
2024,8,23,643
2024,8,24,705
2024,8,25,742
2024,8,26,729
2024,8,27,700
2024,8,28,716
2024,8,29,753
2024,8,30,677
2024,8,31,708
2024,9,1,748
2024,9,2,711
2024,9,3,704
2024,9,4,753
2024,9,5,676
2024,9,6,695
2024,9,7,738
2024,9,8,706
2024,9,9,721
2024,9,10,751
2024,9,11,711
2024,9,12,786
2024,9,13,678
2024,9,14,734
2024,9,15,753
2024,9,16,707
2024,9,17,687
2024,9,18,710
2024,9,19,715
2024,9,20,772
2024,9,21,728
2024,9,22,721
2024,9,23,716
2024,9,24,691
2024,9,25,706
2024,9,26,730
2024,9,27,744
2024,9,28,705
2024,9,29,698
2024,9,30,726
2024,10,1,783
2024,10,2,701
2024,10,3,735
2024,10,4,723
2024,10,5,759
2024,10,6,729
2024,10,7,682
2024,10,8,694
2024,10,9,728
2024,10,10,694
2024,10,11,707
2024,10,12,695
2024,10,13,689
2024,10,14,739
2024,10,15,710
2024,10,16,702
2024,10,17,729
2024,10,18,734
2024,10,19,708
2024,10,20,697
2024,10,21,711
2024,10,22,667
2024,10,23,690
2024,10,24,735
2024,10,25,737
2024,10,26,765
2024,10,27,722
2024,10,28,724
2024,10,29,707
2024,10,30,738
2024,10,31,667
2024,11,1,730
2024,11,2,747
2024,11,3,722
2024,11,4,719
2024,11,5,707
2024,11,6,683
2024,11,7,678
2024,11,8,681
2024,11,9,692
2024,11,10,670
2024,11,11,721
2024,11,12,664
2024,11,13,734
2024,11,14,705
2024,11,15,740
2024,11,16,722
2024,11,17,701
2024,11,18,712
2024,11,19,697
2024,11,20,710
2024,11,21,718
2024,11,22,720
2024,11,23,725
2024,11,24,696
2024,11,25,702
2024,11,26,707
2024,11,27,741
2024,11,28,708
2024,11,29,757
2024,11,30,675
2024,12,1,686
2024,12,2,675
2024,12,3,647
2024,12,4,693
2024,12,5,708
2024,12,6,712
2024,12,7,700
2024,12,8,685
2024,12,9,692
2024,12,10,700
2024,12,11,743
2024,12,12,716
2024,12,13,706
2024,12,14,730
2024,12,15,709
2024,12,16,715
2024,12,17,689
2024,12,18,742
2024,12,19,700
2024,12,20,683
2024,12,21,739
2024,12,22,659
2024,12,23,705
2024,12,24,690
2024,12,25,690
2024,12,26,726
2024,12,27,697
2024,12,28,694
2024,12,29,710
2024,12,30,686
