year,month,day,y
2021,8,15,31
2021,8,16,23
2021,8,17,21
2021,8,18,27
2021,8,19,36
2021,8,20,34
2021,8,21,37
2021,8,22,27
2021,8,23,22
2021,8,24,32
2021,8,25,21
2021,8,26,22
2021,8,27,35
2021,8,28,33
2021,8,29,24
2021,8,30,33
2021,8,31,31
2021,9,1,33
2021,9,2,33
2021,9,3,22
2021,9,4,35
2021,9,5,23
2021,9,6,27
2021,9,7,26
2021,9,8,32
2021,9,9,26
2021,9,10,23
2021,9,11,24
2021,9,12,20
2021,9,13,28
2021,9,14,29
2021,9,15,20
2021,9,16,33
2021,9,17,22
2021,9,18,25
2021,9,19,23
2021,9,20,34
2021,9,21,33
2021,9,22,37
2021,9,23,21
2021,9,24,22
2021,9,25,23
2021,9,26,33
2021,9,27,22
2021,9,28,31
2021,9,29,33
2021,9,30,31
2021,10,1,40
2021,10,2,41
2021,10,3,25
2021,10,4,39
2021,10,5,33
2021,10,6,29
2021,10,7,31
2021,10,8,25
2021,10,9,34
2021,10,10,36
2021,10,11,24
2021,10,12,43
2021,10,13,28
2021,10,14,23
2021,10,15,27
2021,10,16,30
2021,10,17,25
2021,10,18,34
2021,10,19,27
2021,10,20,22
2021,10,21,27
2021,10,22,32
2021,10,23,22
2021,10,24,22
2021,10,25,37
2021,10,26,24
2021,10,27,27
2021,10,28,30
2021,10,29,41
2021,10,30,30
2021,10,31,24
2021,11,1,31
2021,11,2,24
2021,11,3,28
2021,11,4,30
2021,11,5,31
2021,11,6,30
2021,11,7,33
2021,11,8,25
2021,11,9,22
2021,11,10,36
2021,11,11,16
2021,11,12,33
2021,11,13,23
2021,11,14,35
2021,11,15,37
2021,11,16,22
2021,11,17,28
2021,11,18,32
2021,11,19,33
2021,11,20,20
2021,11,21,27
2021,11,22,30
2021,11,23,31
2021,11,24,44
2021,11,25,25
2021,11,26,33
2021,11,27,31
2021,11,28,30
2021,11,29,27
2021,11,30,24
2021,12,1,32
2021,12,2,28
2021,12,3,29
2021,12,4,24
2021,12,5,33
2021,12,6,24
2021,12,7,22
2021,12,8,26
2021,12,9,36
2021,12,10,21
2021,12,11,38
2021,12,12,26
2021,12,13,24
2021,12,14,27
2021,12,15,35
2021,12,16,21
2021,12,17,23
2021,12,18,31
2021,12,19,30
2021,12,20,30
2021,12,21,27
2021,12,22,26
2021,12,23,26
2021,12,24,33
2021,12,25,30
2021,12,26,27
2021,12,27,27
2021,12,28,24
2021,12,29,27
2021,12,30,30
2022,1,1,213
2022,1,2,217
2022,1,3,208
2022,1,4,193
2022,1,5,198
2022,1,6,170
2022,1,7,190
2022,1,8,194
2022,1,9,170
2022,1,10,179
2022,1,11,190
2022,1,12,185
2022,1,13,162
2022,1,14,223
2022,1,15,226
2022,1,16,172
2022,1,17,185
2022,1,18,198
2022,1,19,221
2022,1,20,188
2022,1,21,195
2022,1,22,218
2022,1,23,230
2022,1,24,197
2022,1,25,203
2022,1,26,204
2022,1,27,190
2022,1,28,190
2022,1,29,179
2022,1,30,161
2022,1,31,197
2022,2,1,196
2022,2,2,208
2022,2,3,193
2022,2,4,216
2022,2,5,210
2022,2,6,196
2022,2,7,187
2022,2,8,220
2022,2,9,190
2022,2,10,176
2022,2,11,185
2022,2,12,171
2022,2,13,179
2022,2,14,206
2022,2,15,188
2022,2,16,199
2022,2,17,199
2022,2,18,179
2022,2,19,197
2022,2,20,173
2022,2,21,178
2022,2,22,204
2022,2,23,187
2022,2,24,193
2022,2,25,203
2022,2,26,195
2022,2,27,185
2022,2,28,199
2022,3,1,186
2022,3,2,198
2022,3,3,205
2022,3,4,208
2022,3,5,176
2022,3,6,177
2022,3,7,201
2022,3,8,198
2022,3,9,212
2022,3,10,182
2022,3,11,181
2022,3,12,219
2022,3,13,187
2022,3,14,195
2022,3,15,186
2022,3,16,193
2022,3,17,212
2022,3,18,197
2022,3,19,205
2022,3,20,202
2022,3,21,181
2022,3,22,181
2022,3,23,195
2022,3,24,179
2022,3,25,215
2022,3,26,159
2022,3,27,206
2022,3,28,201
2022,3,29,176
2022,3,30,207
2022,3,31,190
2022,4,1,178
2022,4,2,210
2022,4,3,190
2022,4,4,220
2022,4,5,173
2022,4,6,203
2022,4,7,222
2022,4,8,184
2022,4,9,209
2022,4,10,186
2022,4,11,187
2022,4,12,185
2022,4,13,186
2022,4,14,193
2022,4,15,183
2022,4,16,209
2022,4,17,198
2022,4,18,170
2022,4,19,192
2022,4,20,201
2022,4,21,210
2022,4,22,195
2022,4,23,195
2022,4,24,214
2022,4,25,203
2022,4,26,183
2022,4,27,195
2022,4,28,209
2022,4,29,176
2022,4,30,187
2022,5,1,170
2022,5,2,186
2022,5,3,195
2022,5,4,190
2022,5,5,173
2022,5,6,196
2022,5,7,179
2022,5,8,218
2022,5,9,186
2022,5,10,192
2022,5,11,217
2022,5,12,201
2022,5,13,176
2022,5,14,196
2022,5,15,210
2022,5,16,190
2022,5,17,205
2022,5,18,210
2022,5,19,212
2022,5,20,211
2022,5,21,191
2022,5,22,186
2022,5,23,211
2022,5,24,174
2022,5,25,237
2022,5,26,188
2022,5,27,207
2022,5,28,188
2022,5,29,208
2022,5,30,187
2022,5,31,185
2022,6,1,185
2022,6,2,195
2022,6,3,215
2022,6,4,218
2022,6,5,198
2022,6,6,203
2022,6,7,206
2022,6,8,213
2022,6,9,206
2022,6,10,184
2022,6,11,191
2022,6,12,197
2022,6,13,203
2022,6,14,173
2022,6,15,174
2022,6,16,212
2022,6,17,210
2022,6,18,189
2022,6,19,182
2022,6,20,199
2022,6,21,204
2022,6,22,192
2022,6,23,179
2022,6,24,192
2022,6,25,176
2022,6,26,182
2022,6,27,176
2022,6,28,215
2022,6,29,209
2022,6,30,208
2022,7,1,199
2022,7,2,221
2022,7,3,171
2022,7,4,175
2022,7,5,193
2022,7,6,179
2022,7,7,197
2022,7,8,208
2022,7,9,190
2022,7,10,208
2022,7,11,191
2022,7,12,199
2022,7,13,188
2022,7,14,208
2022,7,15,185
2022,7,16,198
2022,7,17,198
2022,7,18,209
2022,7,19,203
2022,7,20,183
2022,7,21,181
2022,7,22,221
2022,7,23,196
2022,7,24,183
2022,7,25,182
2022,7,26,186
2022,7,27,226
2022,7,28,202
2022,7,29,180
2022,7,30,204
2022,7,31,188
2022,8,1,197
2022,8,2,196
2022,8,3,173
2022,8,4,217
2022,8,5,196
2022,8,6,230
2022,8,7,178
2022,8,8,210
2022,8,9,185
2022,8,10,187
2022,8,11,192
2022,8,12,186
2022,8,13,195
2022,8,14,185
2022,8,15,203
2022,8,16,190
2022,8,17,172
2022,8,18,205
2022,8,19,229
2022,8,20,192
2022,8,21,202
2022,8,22,211
2022,8,23,193
2022,8,24,150
2022,8,25,220
2022,8,26,179
2022,8,27,193
2022,8,28,191
2022,8,29,191
2022,8,30,195
2022,8,31,189
2022,9,1,176
2022,9,2,215
2022,9,3,196
2022,9,4,188
2022,9,5,184
2022,9,6,203
2022,9,7,210
2022,9,8,190
2022,9,9,208
2022,9,10,186
2022,9,11,193
2022,9,12,204
2022,9,13,203
2022,9,14,181
2022,9,15,181
2022,9,16,194
2022,9,17,217
2022,9,18,175
2022,9,19,180
2022,9,20,189
2022,9,21,173
2022,9,22,191
2022,9,23,205
2022,9,24,187
2022,9,25,192
2022,9,26,213
2022,9,27,221
2022,9,28,199
2022,9,29,200
2022,9,30,177
2022,10,1,180
2022,10,2,171
2022,10,3,217
2022,10,4,201
2022,10,5,192
2022,10,6,179
2022,10,7,198
2022,10,8,204
2022,10,9,185
2022,10,10,174
2022,10,11,202
2022,10,12,175
2022,10,13,200
2022,10,14,184
2022,10,15,188
2022,10,16,205
2022,10,17,188
2022,10,18,219
2022,10,19,190
2022,10,20,186
2022,10,21,199
2022,10,22,178
2022,10,23,187
2022,10,24,204
2022,10,25,224
2022,10,26,178
2022,10,27,212
2022,10,28,185
2022,10,29,182
2022,10,30,190
2022,10,31,177
2022,11,1,193
2022,11,2,199
2022,11,3,196
2022,11,4,197
2022,11,5,201
2022,11,6,200
2022,11,7,189
2022,11,8,202
2022,11,9,195
2022,11,10,208
2022,11,11,184
2022,11,12,199
2022,11,13,196
2022,11,14,197
2022,11,15,190
2022,11,16,188
2022,11,17,192
2022,11,18,195
2022,11,19,190
2022,11,20,231
2022,11,21,170
2022,11,22,203
2022,11,23,224
2022,11,24,190
2022,11,25,187
2022,11,26,187
2022,11,27,166
2022,11,28,201
2022,11,29,186
2022,11,30,180
2022,12,1,195
2022,12,2,192
2022,12,3,212
2022,12,4,179
2022,12,5,180
2022,12,6,203
2022,12,7,196
2022,12,8,198
2022,12,9,170
2022,12,10,187
2022,12,11,196
2022,12,12,156
2022,12,13,186
2022,12,14,183
2022,12,15,183
2022,12,16,169
2022,12,17,196
2022,12,18,176
2022,12,19,210
2022,12,20,180
2022,12,21,197
2022,12,22,176
2022,12,23,207
2022,12,24,190
2022,12,25,217
2022,12,26,176
2022,12,27,168
2022,12,28,161
2022,12,29,184
2022,12,30,197
2023,1,1,1707
2023,1,2,1635
2023,1,3,1682
2023,1,4,1568
2023,1,5,1618
2023,1,6,1659
2023,1,7,1619
2023,1,8,1678
2023,1,9,1693
2023,1,10,1699
2023,1,11,1687
2023,1,12,1633
2023,1,13,1628
2023,1,14,1701
2023,1,15,1662
2023,1,16,1715
2023,1,17,1656
2023,1,18,1715
2023,1,19,1614
2023,1,20,1706
2023,1,21,1657
2023,1,22,1610
2023,1,23,1737
2023,1,24,1699
2023,1,25,1728
2023,1,26,1676
2023,1,27,1655
2023,1,28,1661
2023,1,29,1636
2023,1,30,1654
2023,1,31,1802
2023,2,1,1708
2023,2,2,1659
2023,2,3,1696
2023,2,4,1664
2023,2,5,1666
2023,2,6,1715
2023,2,7,1647
2023,2,8,1583
2023,2,9,1626
2023,2,10,1640
2023,2,11,1642
2023,2,12,1694
2023,2,13,1689
2023,2,14,1723
2023,2,15,1690
2023,2,16,1650
2023,2,17,1672
2023,2,18,1652
2023,2,19,1655
2023,2,20,1715
2023,2,21,1613
2023,2,22,1643
2023,2,23,1652
2023,2,24,1736
2023,2,25,1667
2023,2,26,1711
2023,2,27,1729
2023,2,28,1643
2023,3,1,1619
2023,3,2,1682
2023,3,3,1707
2023,3,4,1650
2023,3,5,1593
2023,3,6,1684
2023,3,7,1668
2023,3,8,1663
2023,3,9,1706
2023,3,10,1689
2023,3,11,1670
2023,3,12,1629
2023,3,13,1580
2023,3,14,1649
2023,3,15,1689
2023,3,16,1712
2023,3,17,1673
2023,3,18,1671
2023,3,19,1640
2023,3,20,1676
2023,3,21,1658
2023,3,22,1626
2023,3,23,1573
2023,3,24,1648
2023,3,25,1736
2023,3,26,1730
2023,3,27,1609
2023,3,28,1623
2023,3,29,1670
2023,3,30,1768
2023,3,31,1696
2023,4,1,1685
2023,4,2,1643
2023,4,3,1733
2023,4,4,1612
2023,4,5,1711
2023,4,6,1675
2023,4,7,1649
2023,4,8,1686
2023,4,9,1656
2023,4,10,1625
2023,4,11,1769
2023,4,12,1689
2023,4,13,1639
2023,4,14,1646
2023,4,15,1759
2023,4,16,1729
2023,4,17,1723
2023,4,18,1667
2023,4,19,1579
2023,4,20,1718
2023,4,21,1652
2023,4,22,1698
2023,4,23,1655
2023,4,24,1689
2023,4,25,1662
2023,4,26,1652
2023,4,27,1661
2023,4,28,1704
2023,4,29,1583
2023,4,30,1637
2023,5,1,1652
2023,5,2,1671
2023,5,3,1698
2023,5,4,1717
2023,5,5,1647
2023,5,6,1630
2023,5,7,1541
2023,5,8,1659
2023,5,9,1656
2023,5,10,1679
2023,5,11,1686
2023,5,12,1667
2023,5,13,1635
2023,5,14,1658
2023,5,15,1660
2023,5,16,1684
2023,5,17,1718
2023,5,18,1634
2023,5,19,1685
2023,5,20,1695
2023,5,21,1646
2023,5,22,1693
2023,5,23,1680
2023,5,24,1640
2023,5,25,1701
2023,5,26,1705
2023,5,27,1637
2023,5,28,1691
2023,5,29,1720
2023,5,30,1575
2023,5,31,1706
2023,6,1,1670
2023,6,2,1676
2023,6,3,1701
2023,6,4,1686
2023,6,5,1686
2023,6,6,1599
2023,6,7,1694
2023,6,8,1649
2023,6,9,1731
2023,6,10,1637
2023,6,11,1642
2023,6,12,1662
2023,6,13,1594
2023,6,14,1660
2023,6,15,1678
2023,6,16,1643
2023,6,17,1691
2023,6,18,1732
2023,6,19,1573
2023,6,20,1707
2023,6,21,1607
2023,6,22,1702
2023,6,23,1642
2023,6,24,1663
2023,6,25,1635
2023,6,26,1637
2023,6,27,1609
2023,6,28,1678
2023,6,29,1702
2023,6,30,1641
2023,7,1,1522
2023,7,2,1732
2023,7,3,1648
2023,7,4,1659
2023,7,5,1700
2023,7,6,1671
2023,7,7,1696
2023,7,8,1673
2023,7,9,1678
2023,7,10,1663
2023,7,11,1611
2023,7,12,1645
2023,7,13,1712
2023,7,14,1692
2023,7,15,1599
2023,7,16,1649
2023,7,17,1670
2023,7,18,1679
2023,7,19,1629
2023,7,20,1721
2023,7,21,1674
2023,7,22,1653
2023,7,23,1743
2023,7,24,1662
2023,7,25,1684
2023,7,26,1690
2023,7,27,1680
2023,7,28,1651
2023,7,29,1746
2023,7,30,1722
2023,7,31,1734
2023,8,1,1733
2023,8,2,1631
2023,8,3,1674
2023,8,4,1645
2023,8,5,1653
2023,8,6,1729
2023,8,7,1689
2023,8,8,1604
2023,8,9,1671
2023,8,10,1641
2023,8,11,1607
2023,8,12,1611
2023,8,13,1635
2023,8,14,1654
2023,8,15,1675
2023,8,16,1680
2023,8,17,1663
2023,8,18,1759
2023,8,19,1697
2023,8,20,1739
2023,8,21,1695
2023,8,22,1687
2023,8,23,1680
2023,8,24,1663
2023,8,25,1738
2023,8,26,1620
2023,8,27,1604
2023,8,28,1696
2023,8,29,1632
2023,8,30,1671
2023,8,31,1654
2023,9,1,1563
2023,9,2,1662
2023,9,3,1674
2023,9,4,1640
2023,9,5,1653
2023,9,6,1733
2023,9,7,1658
2023,9,8,1667
2023,9,9,1668
2023,9,10,1686
2023,9,11,1720
2023,9,12,1669
2023,9,13,1680
2023,9,14,1683
2023,9,15,1639
2023,9,16,1673
2023,9,17,1649
2023,9,18,1603
2023,9,19,1713
2023,9,20,1683
2023,9,21,1593
2023,9,22,1657
2023,9,23,1721
2023,9,24,1726
2023,9,25,1649
2023,9,26,1691
2023,9,27,1671
2023,9,28,1739
2023,9,29,1549
2023,9,30,1699
2023,10,1,1665
2023,10,2,1694
2023,10,3,1595
2023,10,4,1666
2023,10,5,1663
2023,10,6,1569
2023,10,7,1742
2023,10,8,1662
2023,10,9,1706
2023,10,10,1740
2023,10,11,1668
2023,10,12,1748
2023,10,13,1650
2023,10,14,1640
2023,10,15,1657
2023,10,16,1611
2023,10,17,1716
2023,10,18,1710
2023,10,19,1706
2023,10,20,1663
2023,10,21,1683
2023,10,22,1678
2023,10,23,1757
2023,10,24,1659
2023,10,25,1707
2023,10,26,1730
2023,10,27,1627
2023,10,28,1607
2023,10,29,1692
2023,10,30,1647
2023,10,31,1651
2023,11,1,1634
2023,11,2,1634
2023,11,3,1657
2023,11,4,1756
2023,11,5,1685
2023,11,6,1639
2023,11,7,1599
2023,11,8,1595
2023,11,9,1650
2023,11,10,1628
2023,11,11,1629
2023,11,12,1681
2023,11,13,1694
2023,11,14,1636
2023,11,15,1656
2023,11,16,1577
2023,11,17,1651
2023,11,18,1617
2023,11,19,1699
2023,11,20,1668
2023,11,21,1685
2023,11,22,1578
2023,11,23,1629
2023,11,24,1644
2023,11,25,1718
2023,11,26,1615
2023,11,27,1667
2023,11,28,1664
2023,11,29,1617
2023,11,30,1717
2023,12,1,1714
2023,12,2,1633
2023,12,3,1697
2023,12,4,1680
2023,12,5,1685
2023,12,6,1669
2023,12,7,1696
2023,12,8,1707
2023,12,9,1647
2023,12,10,1640
2023,12,11,1634
2023,12,12,1645
2023,12,13,1686
2023,12,14,1703
2023,12,15,1679
2023,12,16,1760
2023,12,17,1651
2023,12,18,1639
2023,12,19,1679
2023,12,20,1653
2023,12,21,1675
2023,12,22,1652
2023,12,23,1708
2023,12,24,1721
2023,12,25,1712
2023,12,26,1564
2023,12,27,1727
2023,12,28,1624
2023,12,29,1774
2023,12,30,1653
2024,1,1,3487
2024,1,2,3450
2024,1,3,3400
2024,1,4,3485
2024,1,5,3412
2024,1,6,3365
2024,1,7,3361
2024,1,8,3412
2024,1,9,3406
2024,1,10,3387
2024,1,11,3390
2024,1,12,3509
2024,1,13,3452
2024,1,14,3354
2024,1,15,3455
2024,1,16,3335
2024,1,17,3372
2024,1,18,3474
2024,1,19,3349
2024,1,20,3384
2024,1,21,3376
2024,1,22,3379
2024,1,23,3399
2024,1,24,3372
2024,1,25,3422
2024,1,26,3430
2024,1,27,3382
2024,1,28,3427
2024,1,29,3345
2024,1,30,3245
2024,1,31,3496
2024,2,1,3443
2024,2,2,3302
2024,2,3,3360
2024,2,4,3361
2024,2,5,3451
2024,2,6,3349
2024,2,7,3480
2024,2,8,3287
2024,2,9,3489
2024,2,10,3469
2024,2,11,3466
2024,2,12,3453
2024,2,13,3351
2024,2,14,3420
2024,2,15,3323
2024,2,16,3388
2024,2,17,3363
2024,2,18,3402
2024,2,19,3351
2024,2,20,3326
2024,2,21,3446
2024,2,22,3431
2024,2,23,3554
2024,2,24,3387
2024,2,25,3296
2024,2,26,3417
2024,2,27,3350
2024,2,28,3409
2024,2,29,3350
2024,3,1,3356
2024,3,2,3438
2024,3,3,3424
2024,3,4,3401
2024,3,5,3414
2024,3,6,3448
2024,3,7,3360
2024,3,8,3481
2024,3,9,3364
2024,3,10,3402
2024,3,11,3445
2024,3,12,3299
2024,3,13,3471
2024,3,14,3424
2024,3,15,3399
2024,3,16,3411
2024,3,17,3416
2024,3,18,3484
2024,3,19,3306
2024,3,20,3342
2024,3,21,3380
2024,3,22,3517
2024,3,23,3493
2024,3,24,3435
2024,3,25,3380
2024,3,26,3385
2024,3,27,3388
2024,3,28,3456
2024,3,29,3383
2024,3,30,3378
2024,3,31,3387
2024,4,1,3351
2024,4,2,3439
2024,4,3,3399
2024,4,4,3452
2024,4,5,3445
2024,4,6,3459
2024,4,7,3349
2024,4,8,3455
2024,4,9,3377
2024,4,10,3401
2024,4,11,3478
2024,4,12,3418
2024,4,13,3383
2024,4,14,3309
2024,4,15,3376
2024,4,16,3345
2024,4,17,3348
2024,4,18,3405
2024,4,19,3457
2024,4,20,3461
2024,4,21,3461
2024,4,22,3399
2024,4,23,3301
2024,4,24,3397
2024,4,25,3407
2024,4,26,3368
2024,4,27,3450
2024,4,28,3361
2024,4,29,3219
2024,4,30,3334
2024,5,1,3476
2024,5,2,3286
2024,5,3,3473
2024,5,4,3341
2024,5,5,3359
2024,5,6,3355
2024,5,7,3543
2024,5,8,3371
2024,5,9,3388
2024,5,10,3420
2024,5,11,3292
2024,5,12,3423
2024,5,13,3342
2024,5,14,3453
2024,5,15,3383
2024,5,16,3340
2024,5,17,3294
2024,5,18,3295
2024,5,19,3333
2024,5,20,3255
2024,5,21,3518
2024,5,22,3306
2024,5,23,3331
2024,5,24,3362
2024,5,25,3381
2024,5,26,3441
2024,5,27,3442
2024,5,28,3315
2024,5,29,3403
2024,5,30,3412
2024,5,31,3422
2024,6,1,3402
2024,6,2,3475
2024,6,3,3301
2024,6,4,3372
2024,6,5,3559
2024,6,6,3397
2024,6,7,3310
2024,6,8,3364
2024,6,9,3389
2024,6,10,3422
2024,6,11,3388
2024,6,12,3441
2024,6,13,3553
2024,6,14,3437
2024,6,15,3461
2024,6,16,3425
2024,6,17,3461
2024,6,18,3425
2024,6,19,3449
2024,6,20,3401
2024,6,21,3407
2024,6,22,3328
2024,6,23,3388
2024,6,24,3436
2024,6,25,3487
2024,6,26,3348
2024,6,27,3431
2024,6,28,3399
2024,6,29,3416
2024,6,30,3426
2024,7,1,3378
2024,7,2,3440
2024,7,3,3444
2024,7,4,3366
2024,7,5,3340
2024,7,6,3449
2024,7,7,3404
2024,7,8,3422
2024,7,9,3398
2024,7,10,3399
2024,7,11,3405
2024,7,12,3507
2024,7,13,3385
2024,7,14,3401
2024,7,15,3385
2024,7,16,3360
2024,7,17,3320
2024,7,18,3403
2024,7,19,3430
2024,7,20,3322
2024,7,21,3458
2024,7,22,3481
2024,7,23,3369
2024,7,24,3447
2024,7,25,3488
2024,7,26,3405
2024,7,27,3383
2024,7,28,3397
2024,7,29,3375
2024,7,30,3382
2024,7,31,3367
2024,8,1,3329
2024,8,2,3351
2024,8,3,3293
2024,8,4,3369
2024,8,5,3397
2024,8,6,3311
2024,8,7,3400
2024,8,8,3497
2024,8,9,3486
2024,8,10,3380
2024,8,11,3420
2024,8,12,3470
2024,8,13,3387
2024,8,14,3451
2024,8,15,3417
2024,8,16,3296
2024,8,17,3429
2024,8,18,3425
2024,8,19,3350
2024,8,20,3386
2024,8,21,3382
2024,8,22,3430
2024,8,23,3173
2024,8,24,3442
2024,8,25,3363
2024,8,26,3432
2024,8,27,3306
2024,8,28,3294
2024,8,29,3352
2024,8,30,3474
2024,8,31,3346
2024,9,1,3375
2024,9,2,3380
2024,9,3,3315
2024,9,4,3409
2024,9,5,3384
2024,9,6,3378
2024,9,7,3476
2024,9,8,3454
2024,9,9,3250
2024,9,10,3400
2024,9,11,3381
2024,9,12,3565
2024,9,13,3305
2024,9,14,3326
2024,9,15,3349
2024,9,16,3403
2024,9,17,3391
2024,9,18,3384
2024,9,19,3359
2024,9,20,3463
2024,9,21,3428
2024,9,22,3356
2024,9,23,3348
2024,9,24,3378
2024,9,25,3462
2024,9,26,3450
2024,9,27,3368
2024,9,28,3434
2024,9,29,3350
2024,9,30,3473
2024,10,1,3404
2024,10,2,3379
2024,10,3,3426
2024,10,4,3452
2024,10,5,3418
2024,10,6,3381
2024,10,7,3382
2024,10,8,3393
2024,10,9,3508
2024,10,10,3375
2024,10,11,3457
2024,10,12,3475
2024,10,13,3354
2024,10,14,3403
2024,10,15,3387
2024,10,16,3372
2024,10,17,3395
2024,10,18,3471
2024,10,19,3346
2024,10,20,3301
2024,10,21,3401
2024,10,22,3363
2024,10,23,3388
2024,10,24,3379
2024,10,25,3428
2024,10,26,3480
2024,10,27,3404
2024,10,28,3484
2024,10,29,3389
2024,10,30,3404
2024,10,31,3277
2024,11,1,3367
2024,11,2,3357
2024,11,3,3437
2024,11,4,3465
2024,11,5,3430
2024,11,6,3277
2024,11,7,3413
2024,11,8,3364
2024,11,9,3387
2024,11,10,3383
2024,11,11,3460
2024,11,12,3386
2024,11,13,3442
2024,11,14,3487
2024,11,15,3393
2024,11,16,3341
2024,11,17,3323
2024,11,18,3483
2024,11,19,3408
2024,11,20,3395
2024,11,21,3397
2024,11,22,3373
2024,11,23,3413
2024,11,24,3433
2024,11,25,3316
2024,11,26,3305
2024,11,27,3348
2024,11,28,3446
2024,11,29,3359
2024,11,30,3360
2024,12,1,3443
2024,12,2,3403
2024,12,3,3251
2024,12,4,3395
2024,12,5,3482
2024,12,6,3364
2024,12,7,3389
2024,12,8,3458
2024,12,9,3490
2024,12,10,3332
2024,12,11,3358
2024,12,12,3414
2024,12,13,3486
2024,12,14,3388
2024,12,15,3291
2024,12,16,3366
2024,12,17,3367
2024,12,18,3461
2024,12,19,3345
2024,12,20,3378
2024,12,21,3378
2024,12,22,3378
2024,12,23,3433
2024,12,24,3491
2024,12,25,3367
2024,12,26,3357
2024,12,27,3351
2024,12,28,3511
2024,12,29,3430
2024,12,30,3367
